trial_id,Jaccard_index,true_positive_rate,precision,track_purity,target_effectiveness,mitotic_branching_correctness,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.max_distance,config.splitting_max_distance,config.gap_closing
4cd95_00107,0.9372053150450065,0.9674778761061947,0.9676919672493914,0.8749723390130559,0.9435840707964602,0.6793349168646081,85.55557632446289,True,,,1,efe09c91b0de4844abb35edf5fa292d6,2022-08-23_18-16-19,1661246179,85.55557632446289,270209,booster,172.21.5.13,85.55557632446289,0,1,0.0047626495361328125,107,11.0,42.61538461538462,1
4cd95_00109,0.9372053150450065,0.9674778761061947,0.9676919672493914,0.8749723390130559,0.9435840707964602,0.6793349168646081,83.16128253936768,True,,,1,cadc4e5eb5af4bd6ba5344ea8171beaa,2022-08-23_18-16-44,1661246204,83.16128253936768,270331,booster,172.21.5.13,83.16128253936768,0,1,0.005003452301025391,109,11.0,46.30769230769231,1
4cd95_00123,0.9371907937190793,0.9639380530973451,0.9712438698172091,0.8704859563085153,0.9438053097345133,0.6532066508313539,81.59334397315979,True,,,1,f12110edb3d14dfa89c1f35be08cfae2,2022-08-23_18-20-40,1661246440,81.59334397315979,271157,booster,172.21.5.13,81.59334397315979,0,1,0.006206989288330078,123,14.0,20.461538461538463,1
4cd95_00122,0.9371637615666021,0.963495575221239,0.9716644355198573,0.8694779116465864,0.9442477876106194,0.6508313539192399,82.66578245162964,True,,,1,c32e9f08cdeb4edbb8412c96662ab6fd,2022-08-23_18-20-14,1661246414,82.66578245162964,271083,booster,172.21.5.13,82.66578245162964,0,1,0.004418373107910156,122,14.0,20.461538461538463,0
4cd95_00138,0.9370044996785943,0.9674778761061947,0.9674778761061947,0.8780973451327434,0.9449115044247788,0.6817102137767221,82.28757429122925,True,,,1,0650cfe88349407eace679f887d4febb,2022-08-23_18-24-03,1661246643,82.28757429122925,271973,booster,172.21.5.13,82.28757429122925,0,1,0.008857011795043945,138,14.0,50.0,0
4cd95_00111,0.9365895458440445,0.9672566371681416,0.9672566371681416,0.8747787610619469,0.9433628318584071,0.6769596199524941,89.59873604774475,True,,,1,3caab126ccb840b693d95e085f7d9039,2022-08-23_18-17-41,1661246261,89.59873604774475,270454,booster,172.21.5.13,89.59873604774475,0,1,0.0052487850189208984,111,11.0,50.0,1
4cd95_00095,0.9359001935900194,0.9626106194690266,0.9712053571428572,0.8665178571428571,0.9422566371681416,0.6389548693586699,86.72504043579102,True,,,1,2abc64721b1d4512915d2a68a9db19c1,2022-08-23_18-13-04,1661245984,86.72504043579102,269537,booster,172.21.5.13,86.72504043579102,0,1,0.010880708694458008,95,11.0,20.461538461538463,1
4cd95_00071,0.9336046262582994,0.9643805309734513,0.9669476486246673,0.864019520851819,0.9396017699115045,0.6460807600950119,92.72569847106934,True,,,1,4d3da3241a0a42a5bc08d6d3c1b1a30e,2022-08-23_18-06-36,1661245596,92.72569847106934,268097,booster,172.21.5.13,92.72569847106934,0,1,0.0041353702545166016,71,8.0,27.846153846153847,1
4cd95_00069,0.9327479117584065,0.963495575221239,0.9669182948490231,0.8623445825932504,0.9387168141592921,0.6389548693586699,91.37573575973511,True,,,1,3cff37f8f9b4401991c725df6dd1a94d,2022-08-23_18-06-17,1661245577,91.37573575973511,268034,booster,172.21.5.13,91.37573575973511,0,1,0.004995822906494141,69,8.0,24.153846153846153,1
4cd95_00075,0.9318084651560496,0.9643805309734513,0.9650210316581802,0.8629621430152756,0.9380530973451328,0.6460807600950119,92.509610414505,True,,,1,1bcd1fbf686b4a988ae3e8b56b14cc31,2022-08-23_18-08-00,1661245680,92.509610414505,268367,booster,172.21.5.13,92.509610414505,0,1,0.005041837692260742,75,8.0,35.23076923076923,1
